Step,x-coordinate,y-coordinate,Actions
1020, 8, 20, F
1021, 9, 20, LF
1022, 9, 21, LF
1023, 8, 21, F
1024, 7, 21, RRF
1025, 8, 21, F
1026, 9, 21, LF
1027, 9, 22, F
1028, 9, 23, LF
1029, 8, 23, F
1030, 7, 23, LF
1031, 7, 22, LF
1032, 8, 22, RRF
1033, 7, 22, F
1034, 6, 22, RRF
1035, 7, 22, LF
1036, 7, 23, LF
1037, 6, 23, F
1038, 5, 23, LF
1039, 5, 22, RRF
1040, 5, 23, LF
1041, 4, 23, LF
1042, 4, 22, F
1043, 4, 21, LF
1044, 5, 21, F
1045, 6, 21, RRF
1046, 5, 21, F
1047, 4, 21, RF
1048, 4, 22, LF
1049, 3, 22, LF
1050, 3, 21, F
1051, 3, 20, F
1052, 3, 19, RRF
1053, 3, 20, F
1054, 3, 21, LF
1055, 2, 21, LF
1056, 2, 20, RRF
1057, 2, 21, F
1058, 2, 22, RRF
1059, 2, 21, LF
1060, 3, 21, LF
1061, 3, 22, RF
1062, 4, 22, LF
1063, 4, 23, F
1064, 4, 24, F
1065, 4, 25, RRF
1066, 4, 24, F
1067, 4, 23, LF
1068, 5, 23, F
1069, 6, 23, F
1070, 7, 23, LF
1071, 7, 24, F
1072, 7, 25, F
1073, 7, 26, LF
1074, 6, 26, LF
1075, 6, 25, F
1076, 6, 24, RRF
1077, 6, 25, LF
1078, 5, 25, LF
1079, 5, 24, RRF
1080, 5, 25, RF
1081, 6, 25, LF
1082, 6, 26, LF
1083, 5, 26, RF
1084, 5, 27, RF
1085, 6, 27, LF
1086, 6, 28, LF
1087, 5, 28, RRF
1088, 6, 28, RF
1089, 6, 27, RF
1090, 5, 27, LF
1091, 5, 26, LF
1092, 6, 26, F
1093, 7, 26, LF
1094, 7, 27, RRF
1095, 7, 26, LF
1096, 8, 26, LF
1097, 8, 27, F
1098, 8, 28, LF
1099, 7, 28, RF
1100, 7, 29, LF
1101, 6, 29, F
1102, 5, 29, F
1103, 4, 29, F
1104, 3, 29, LF
1105, 3, 28, RRF
1106, 3, 29, RF
1107, 4, 29, F
1108, 5, 29, F
1109, 6, 29, F
1110, 7, 29, LF
1111, 7, 30, F
1112, 7, 31, LF
1113, 6, 31, LF
1114, 6, 30, RF
1115, 5, 30, F
1116, 4, 30, RRF
1117, 5, 30, F
1118, 6, 30, LF
1119, 6, 31, RF
1120, 7, 31, LF
1121, 7, 32, LF
1122, 6, 32, RF
1123, 6, 33, LF
1124, 5, 33, LF
1125, 5, 32, F
1126, 5, 31, RF
1127, 4, 31, F
1128, 3, 31, F
1129, 2, 31, LF
1130, 2, 30, LF
1131, 3, 30, RRF
1132, 2, 30, LF
1133, 2, 29, F
1134, 2, 28, F
1135, 2, 27, LF
1136, 3, 27, F
1137, 4, 27, LF
1138, 4, 28, RRF
1139, 4, 27, F
1140, 4, 26, RRF
1141, 4, 27, LF
1142, 3, 27, F
1143, 2, 27, LF
1144, 2, 26, LF
1145, 3, 26, RRF
1146, 2, 26, LF
1147, 2, 25, LF
1148, 3, 25, RRF
1149, 2, 25, RF
1150, 2, 26, F
1151, 2, 27, F
1152, 2, 28, LF
1153, 1, 28, F
1154, 0, 28, LF
1155, 0, 27, LF
1156, 1, 27, RRF
1157, 0, 27, LF
1158, 0, 26, F
1159, 0, 25, LF
1160, 1, 25, LF
1161, 1, 26, RRF
1162, 1, 25, F
1163, 1, 24, LF
1164, 2, 24, F
1165, 3, 24, RF
1166, 3, 23, RF
1167, 2, 23, F
1168, 1, 23, LF
1169, 1, 22, F
1170, 1, 21, RF
1171, 0, 21, LF
1172, 0, 20, LF
1173, 1, 20, RRF
1174, 0, 20, LF
1175, 0, 19, LF
1176, 1, 19, F
1177, 2, 19, RF
1178, 2, 18, RRF
1179, 2, 19, LF
1180, 1, 19, LF
1181, 1, 18, RRF
1182, 1, 19, LF
1183, 0, 19, LF
1184, 0, 18, RRF
1185, 0, 19, F
1186, 0, 20, F
1187, 0, 21, RF
1188, 1, 21, LF
1189, 1, 22, LF
1190, 0, 22, RRF
1191, 1, 22, LF
1192, 1, 23, RF
1193, 2, 23, F
1194, 3, 23, LF
1195, 3, 24, LF
1196, 2, 24, F
1197, 1, 24, F
1198, 0, 24, LF
1199, 0, 23, RRF
1200, 0, 24, RF
1201, 1, 24, LF
1202, 1, 25, LF
1203, 0, 25, RF
1204, 0, 26, F
1205, 0, 27, F
1206, 0, 28, RF
1207, 1, 28, F
1208, 2, 28, LF
1209, 2, 29, F
1210, 2, 30, LF
1211, 1, 30, RF
1212, 1, 31, LF
1213, 0, 31, LF
1214, 0, 30, F
1215, 0, 29, LF
1216, 1, 29, RRF
1217, 0, 29, RF
1218, 0, 30, F
1219, 0, 31, RF
1220, 1, 31, RF
1221, 1, 30, LF
1222, 2, 30, LF
1223, 2, 31, RF
1224, 3, 31, F
1225, 4, 31, LF
1226, 4, 32, LF
1227, 3, 32, F
1228, 2, 32, RF
1229, 2, 33, F
1230, 2, 34, LF
1231, 1, 34, LF
1232, 1, 33, RRF
1233, 1, 34, LF
1234, 0, 34, LF
1235, 0, 33, F
1236, 0, 32, LF
1237, 1, 32, RRF
1238, 0, 32, RF
1239, 0, 33, F
1240, 0, 34, RF
1241, 1, 34, F
1242, 2, 34, LF
1243, 2, 35, LF
1244, 1, 35, F
1245, 0, 35, RF
1246, 0, 36, F
1247, 0, 37, F
1248, 0, 38, RF
1249, 1, 38, LF
1250, 1, 39, LF
1251, 0, 39, RF
1252, 0, 40, F
1253, 0, 41, RRF
1254, 0, 40, F
